2979770606,1,0,834857588,380601666,4232974221,3943721396,617960532,2880622043,2034613013,3123221886,2262434984,6,175682,288,0,6,0,0
2979770606,1,1,644975070,1025847946,364735740,871794253,1956291488,198302599,1932252379,1911786095,3253086720,4294967236,352514,576,288,4294967232,0,288
2979770606,1,2,3056773395,487009054,1746871909,981374305,3841099443,66920327,588634523,2029435181,3262000899,4294967238,527399,805,576,4294967232,59,517
2979770606,1,3,855905034,1218908458,1432206110,1029199174,2823143752,3082673490,2634147257,3835633034,4080459552,4294967222,876476,1242,1152,4294967138,198,954
2979770606,1,4,309864764,3813089129,3136475034,3780631581,3432602089,4240100991,842873575,1266161771,412004610,4294967180,1574795,2121,2304,4294967138,471,1833
2979770606,1,5,2682648941,2388015580,235232444,3405850999,2810692792,2894036447,272247860,358616290,92225551,4294967196,2973908,3954,4608,4294967138,942,3666
2979770606,1,6,1059092022,2780258809,2553263585,1638671556,4157732857,88467512,755218599,1763180441,2537310204,4294967180,5766920,7462,9216,4294967112,2042,7174
2979770606,1,7,3472987053,3532645117,3372966087,2130630978,2437599710,3401195080,2009963071,2557869818,2165274542,4294967164,11350799,14413,18432,4294967106,4307,14125
2979770606,1,8,3772609456,2742806325,2250845600,501232940,1128267644,2227001273,450815232,3211328725,3080199165,4294967108,22516742,28260,36864,4294967068,8892,27972
2979770606,1,9,4010568975,3756465886,1960357724,3748845772,1221587963,4227162104,3623810263,2680159469,268387197,4294967046,44797808,54414,73728,4294966940,19602,54126
2979770606,1,10,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138027,4227858429,4294966770,88850486,91284,147456,4294966756,56460,90996
2979770606,1,11,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,4294966756,176433287,149189,294912,4294966756,146011,148901
3887518001,0,0,880896284,637715226,3666067598,3864120740,1247127623,3217099220,81067655,3123353736,3542877711,38,175682,288,0,38,0,0
3887518001,0,1,2341821404,3298591577,2110889044,1761301454,2819119977,4088194105,2322451185,3091752411,2353495653,4294967222,352514,576,288,4294967220,0,288
3887518001,0,2,3198747014,1537091674,3942996745,1880896190,401628819,1798905691,518422178,193834834,4233953126,4294967232,529346,864,576,4294967200,0,576
3887518001,0,3,1573430960,2020261744,3147981673,799464479,2343336438,3716541815,904592664,2381913941,4029065412,4294967264,883010,1440,1152,4294967200,0,1152
3887518001,0,4,685438266,552428613,1298428735,870209289,3035430243,187114619,1844291416,596520582,4266774423,4294967240,1590338,2592,2304,4294967200,0,2304
3887518001,0,5,465686931,1960520445,648745995,3900899580,1762954780,2165408521,664202597,610375020,83418037,4294967274,3004994,4896,4608,4294967184,0,4608
3887518001,0,6,2656168759,766283547,2681505885,2000239489,4148160006,131926923,1668754123,2366880035,4254993006,4294967234,5834306,9504,9216,4294967170,0,9216
3887518001,0,7,1106723433,705897478,307884988,2480341454,908387180,146869487,4289899885,2049958987,2987253229,4294967234,11492930,18720,18432,4294967168,0,18432
